[[3.0, -24.8],
 [2.9, -25.9],
 [3.0, -26.2],
 [3.2, -25.9],
 [3.0, -26.1],
 [3.1, -25.7],
 [2.9, -25.8],
 [2.7, -26.1],
 [3.0, -26.4],
 [2.8, -26.3],
 [2.6, -25.9],
 [2.9, -26.0],
 [3.3, -26.4],
 [2.6, -26.0],
 [3.1, -26.1],
 [3.3, -26.2],
 [2.6, -26.4],
 [3.3, -25.8],
 [3.0, -26.2],
 [2.9, -26.3],
 [3.1, -26.3],
 [3.0, -26.1],
 [2.9, -26.0],
 [2.8, -26.0],
 [3.2, -26.0],
 [3.1, -26.2],
 [2.8, -26.2],
 [2.6, -26.0],
 [2.7, -25.8],
 [2.9, -26.5],
 [2.9, -26.1],
 [2.9, -26.2],
 [2.9, -26.3],
 [2.7, -26.7],
 [2.7, -26.3],
 [2.7, -26.3],
 [2.7, -26.5],
 [2.8, -25.6],
 [2.7, -26.2],
 [3.0, -26.7],
 [2.9, -26.0],
 [3.0, -26.2],
 [3.0, -26.6],
 [2.9, -26.6],
 [2.9, -26.8],
 [2.8, -27.1],
 [2.9, -26.5],
 [3.1, -25.8],
 [2.6, -25.9],
 [2.8, -26.7],
 [3.2, -26.4],
 [3.0, -26.0],
 [2.9, -26.7],
 [3.0, -26.8],
 [3.2, -26.3],
 [2.9, -26.5],
 [3.0, -26.6],
 [2.8, -27.1],
 [2.7, -27.1],
 [2.7, -26.9],
 [2.8, -26.6],
 [2.8, -26.8],
 [2.6, -26.8],
 [2.6, -26.6],
 [2.7, -26.6],
 [2.6, -26.8],
 [2.7, -27.3],
 [2.7, -26.6],
 [2.9, -26.5],
 [2.6, -27.2],
 [2.6, -27.1],
 [2.6, -27.1],
 [2.6, -26.7],
 [2.8, -26.6],
 [2.9, -27.3],
 [2.7, -27.2],
 [2.8, -26.8],
 [2.7, -26.5],
 [2.8, -26.1],
 [2.6, -27.1],
 [3.0, -27.0],
 [2.5, -27.1],
 [2.7, -26.8],
 [2.9, -26.8],
 [2.9, -26.6],
 [2.8, -26.0],
 [2.8, -26.7],
 [2.7, -26.8],
 [2.8, -26.8],
 [2.8, -27.0],
 [2.8, -26.9],
 [3.1, -27.2],
 [2.9, -27.0],
 [2.9, -27.1],
 [2.8, -27.3],
 [2.8, -27.3],
 [2.9, -27.0],
 [2.6, -27.0],
 [2.8, -27.3],
 [2.9, -27.3]]
